"Step","timelm_attention - train/accuracy","timelm_attention - train/accuracy__MIN","timelm_attention - train/accuracy__MAX","roberta-large_attention - train/accuracy","roberta-large_attention - train/accuracy__MIN","roberta-large_attention - train/accuracy__MAX","roberta-base_attention - train/accuracy","roberta-base_attention - train/accuracy__MIN","roberta-base_attention - train/accuracy__MAX","deberta-large_attention - train/accuracy","deberta-large_attention - train/accuracy__MIN","deberta-large_attention - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX","albert-xlarge_attention - train/accuracy","albert-xlarge_attention - train/accuracy__MIN","albert-xlarge_attention - train/accuracy__MAX","albert-large_attention - train/accuracy","albert-large_attention - train/accuracy__MIN","albert-large_attention - train/accuracy__MAX","albert-base_attention - train/accuracy","albert-base_attention - train/accuracy__MIN","albert-base_attention - train/accuracy__MAX"
"24","0.9375","0.9375","0.9375","1","1","1","0.8125","0.8125","0.8125","1","1","1","0.8125","0.8125","0.8125","1","1","1","1","1","1","1","1","1"
"25","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.5","0.5","0.5","0.625","0.625","0.625","0.78125","0.78125","0.78125","0.75","0.75","0.75"
"26","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875"
"27","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"28","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875"
"29","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"30","0.6875","0.6875","0.6875","0.625","0.625","0.625","0.5625","0.5625","0.5625","0.6875","0.6875","0.6875","0.5625","0.5625","0.5625","0.75","0.75","0.75","0.75","0.75","0.75","0.71875","0.71875","0.71875"
"31","0.6875","0.6875","0.6875","0.625","0.625","0.625","0.5","0.5","0.5","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.75","0.75","0.75","0.71875","0.71875","0.71875"
"32","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"33","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375"
"34","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"35","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"36","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"37","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","1","1","1","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"38","0.75","0.75","0.75","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375"
"39","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.75","0.75","0.75"
"40","1","1","1","1","1","1","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"41","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"42","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"43","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"44","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"45","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125"
"46","1","1","1","1","1","1","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"47","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"48","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125"
"49","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625"
"50","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"51","0.875","0.875","0.875","1","1","1","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"52","0.5625","0.5625","0.5625","0.6875","0.6875","0.6875","0.5625","0.5625","0.5625","0.75","0.75","0.75","0.5625","0.5625","0.5625","0.75","0.75","0.75","0.71875","0.71875","0.71875","0.75","0.75","0.75"
"53","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"54","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"55","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"56","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"57","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"58","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"59","1","1","1","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","1","1","1"
"60","0.75","0.75","0.75","0.875","0.875","0.875","0.875","0.875","0.875","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125"
"61","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"62","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"63","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.75","0.75","0.75","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625"
"64","0.75","0.75","0.75","0.625","0.625","0.625","0.75","0.75","0.75","0.75","0.75","0.75","0.5625","0.5625","0.5625","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875"
"65","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"66","0.875","0.875","0.875","0.875","0.875","0.875","1","1","1","0.875","0.875","0.875","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"67","1","1","1","0.9375","0.9375","0.9375","1","1","1","1","1","1","1","1","1","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
