"Step","bert_attention_stopword_removed - train/accuracy","bert_attention_stopword_removed - train/accuracy__MIN","bert_attention_stopword_removed - train/accuracy__MAX","bert_attention_hashtag - train/accuracy","bert_attention_hashtag - train/accuracy__MIN","bert_attention_hashtag - train/accuracy__MAX","bert_attention_cleaned_spelling_corrected - train/accuracy","bert_attention_cleaned_spelling_corrected - train/accuracy__MIN","bert_attention_cleaned_spelling_corrected - train/accuracy__MAX","bert_attention_cleaned_lemmatized - train/accuracy","bert_attention_cleaned_lemmatized - train/accuracy__MIN","bert_attention_cleaned_lemmatized - train/accuracy__MAX","bert_attention_cleaned - train/accuracy","bert_attention_cleaned - train/accuracy__MIN","bert_attention_cleaned - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX"
"31","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.6875","0.6875","0.6875"
"32","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"33","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"34","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.875","0.875","0.875"
"35","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.71875","0.71875","0.71875","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"36","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"37","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","1","1","1"
"38","0.5625","0.5625","0.5625","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.8125","0.8125","0.8125"
"39","0.6875","0.6875","0.6875","0.71875","0.71875","0.71875","0.84375","0.84375","0.84375","0.71875","0.71875","0.71875","0.75","0.75","0.75","0.6875","0.6875","0.6875"
"40","0.625","0.625","0.625","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"41","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"42","0.625","0.625","0.625","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875"
"43","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"44","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.71875","0.71875","0.71875","0.875","0.875","0.875","0.875","0.875","0.875","0.75","0.75","0.75"
"45","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875"
"46","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
