"Step","bert_attention_stopword_removed - train/accuracy","bert_attention_stopword_removed - train/accuracy__MIN","bert_attention_stopword_removed - train/accuracy__MAX","bert_attention_hashtag - train/accuracy","bert_attention_hashtag - train/accuracy__MIN","bert_attention_hashtag - train/accuracy__MAX","bert_attention_cleaned_spelling_corrected - train/accuracy","bert_attention_cleaned_spelling_corrected - train/accuracy__MIN","bert_attention_cleaned_spelling_corrected - train/accuracy__MAX","bert_attention_cleaned_lemmatized - train/accuracy","bert_attention_cleaned_lemmatized - train/accuracy__MIN","bert_attention_cleaned_lemmatized - train/accuracy__MAX","bert_attention_cleaned - train/accuracy","bert_attention_cleaned - train/accuracy__MIN","bert_attention_cleaned - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX"
"398","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"399","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"400","0.625","0.625","0.625","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"401","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.71875","0.71875","0.71875","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"402","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"403","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.71875","0.71875","0.71875","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"404","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.75","0.75","0.75"
"405","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.875","0.875","0.875","0.75","0.75","0.75"
"406","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.65625","0.65625","0.65625","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"407","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"408","0.625","0.625","0.625","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"409","0.6875","0.6875","0.6875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","1","1","1"
"410","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"411","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"412","0.75","0.75","0.75","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","1","1","1"
"413","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"414","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"415","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"416","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"417","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.71875","0.71875","0.71875","0.875","0.875","0.875"
"418","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","1","1","1"
"419","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"420","0.9375","0.9375","0.9375","1","1","1","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"421","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.71875","0.71875","0.71875","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"422","0.6875","0.6875","0.6875","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.71875","0.71875","0.71875","1","1","1"
"423","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"424","0.8125","0.8125","0.8125","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.75","0.75","0.75","0.6875","0.6875","0.6875"
"425","0.6875","0.6875","0.6875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"426","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"427","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"428","0.75","0.75","0.75","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"429","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"430","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"431","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.875","0.875","0.875","1","1","1"
"432","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"433","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.75","0.75","0.75"
"434","1","1","1","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"435","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"436","1","1","1","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"437","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"438","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"439","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.875","0.875","0.875"
"440","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"441","0.8125","0.8125","0.8125","0.96875","0.96875","0.96875","0.875","0.875","0.875","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"442","0.625","0.625","0.625","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875"
"443","0.75","0.75","0.75","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"444","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"445","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"446","0.625","0.625","0.625","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.625","0.625","0.625"
"447","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.875","0.875","0.875","1","1","1"
"448","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"449","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"450","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"451","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"452","0.625","0.625","0.625","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.875","0.875","0.875","1","1","1"
"453","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.71875","0.71875","0.71875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"454","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","1","1","1"
"455","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"456","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"457","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"458","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.75","0.75","0.75"
"459","0.6875","0.6875","0.6875","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.71875","0.71875","0.71875","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"460","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"461","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"462","0.8125","0.8125","0.8125","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"463","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"464","0.875","0.875","0.875","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"465","0.875","0.875","0.875","0.875","0.875","0.875","0.71875","0.71875","0.71875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","1","1","1"
"466","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"467","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.96875","0.96875","0.96875","0.8125","0.8125","0.8125"
"468","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"469","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"470","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"471","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"472","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","1","1","1"
"473","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.75","0.75","0.75"
"474","0.75","0.75","0.75","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"475","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"476","0.875","0.875","0.875","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"477","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"478","","","","","","","","","","","","","","","","1","1","1"
"479","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"480","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875"
"481","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"482","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875"
"483","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.75","0.75","0.75"
"484","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"485","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"486","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"487","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"488","0.5625","0.5625","0.5625","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875"
"489","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.71875","0.71875","0.71875","0.9375","0.9375","0.9375"
"490","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.875","0.875","0.875"
"491","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"492","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125"
"493","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"494","0.625","0.625","0.625","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125"
"495","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.75","0.75","0.75"
"496","0.5625","0.5625","0.5625","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"497","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"498","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"499","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"500","0.875","0.875","0.875","0.75","0.75","0.75","0.75","0.75","0.75","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"501","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375"
"502","0.8125","0.8125","0.8125","1","1","1","0.875","0.875","0.875","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"503","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"504","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.75","0.75","0.75"
"505","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.9375","0.9375","0.9375","1","1","1"
"506","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"507","0.75","0.75","0.75","0.875","0.875","0.875","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"508","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875","0.875","0.875","0.875"
"509","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"510","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"511","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.75","0.75","0.75"
"512","0.75","0.75","0.75","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"513","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"514","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"515","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"516","0.5625","0.5625","0.5625","0.875","0.875","0.875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.875","0.875","0.875"
"517","0.6875","0.6875","0.6875","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"518","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.96875","0.96875","0.96875","0.875","0.875","0.875","1","1","1"
"519","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.59375","0.59375","0.59375","0.9375","0.9375","0.9375"
"520","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375"
"521","0.625","0.625","0.625","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"522","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125"
"523","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"524","0.4375","0.4375","0.4375","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.875","0.875","0.875"
"525","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"526","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"527","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"528","0.9375","0.9375","0.9375","0.71875","0.71875","0.71875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.75","0.75","0.75"
"529","1","1","1","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","","",""
"530","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875"
"531","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.65625","0.65625","0.65625","0.78125","0.78125","0.78125","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"532","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"533","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"534","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"535","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"536","0.75","0.75","0.75","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"537","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"538","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75","0.71875","0.71875","0.71875","0.6875","0.6875","0.6875"
"539","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.75","0.75","0.75","0.84375","0.84375","0.84375","0.625","0.625","0.625"
"540","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","1","1","1"
"541","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
"542","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"543","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125"
"544","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375","0.75","0.75","0.75","0.875","0.875","0.875","0.875","0.875","0.875"
"545","0.875","0.875","0.875","1","1","1","0.75","0.75","0.75","0.875","0.875","0.875","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375"
"546","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.875","0.875","0.875"
"547","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.96875","0.96875","0.96875","0.75","0.75","0.75","0.875","0.875","0.875"
"548","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"549","0.6875","0.6875","0.6875","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.6875","0.6875","0.6875"
"550","0.625","0.625","0.625","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"551","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.6875","0.6875","0.6875","0.9375","0.9375","0.9375"
"552","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"553","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375","0.75","0.75","0.75","0.9375","0.9375","0.9375"
